,Otázka,Správná odpověď,Distraktor 1,Distraktor 2,Distraktor 3,Vysvětlivky a poznámky
Radiokomunikační předpisy,Pořadí zpráv dle důležitosti je následující:,"Tísňové zprávy, pilnostní zprávy, zprávy o radiovém zaměřování, zprávy pro zajištění bezpečnosti letů, meteorologické zprávy, zprávy o pravidelnosti letů","Tísňové zprávy, zprávy pro zajištění bezpečnosti letů, pilnostní zprávy, meteorologické zprávy","Vládní zprávy, tísňové zprávy, pilnostní zprávy, zprávy o pravidelnosti letů","Tísňové zprávy, pilnostní zprávy, meteorologické zprávy, zprávy o radiovém zaměřování","Tohle je pevná hierarchie v letectví, kterou musíš znát zpaměti. Na prvním místě je vždy záchrana života (tíseň), pak hrozící nebezpečí (pilnost), navigace (zaměřování), organizace provozu a počasí (bezpečnost a meteo) a nakonec provozní věci aerolinek (pravidelnost)."
Radiokomunikační předpisy,Tísňové volání a tísňová zpráva se vysílají jen na rozkaz,Velitele nebo osoby odpovědné za loď nebo letadlo,"Jakéhokoliv člena posádky, který situaci vyhodnotí jako nebezpečnou",Pouze dispečera Řízení letového provozu,Prvního pilota nebo palubního inženýra,"Vyslání tísně (MAYDAY) spustí obrovskou záchrannou operaci a okamžitě zablokuje rádiový provoz. Proto o něm nesmí rozhodnout řadový pilot nebo kdokoli na palubě, ale výhradně velitel letadla (kapitán), který nese za celý let a posádku konečnou odpovědnost."
Radiokomunikační předpisy,Mezinárodní tísňový kmitočet v radiotelefonii v letecké pohyblivé službě je,"121,5 MHz","118,0 MHz","137,0 MHz","243,0 MHz","Kmitočet 121,5 MHz je celosvětově hlídaná civilní nouzová frekvence (tzv. Guard). Nepřetržitě ji monitorují civilní letadla i řízení letového provozu, aby mohl kdokoli v nouzi okamžitě navázat spojení."
Radiokomunikační předpisy,Služba u letadlové nebo lodní stanice podléhá nejvyšší pravomoci,"Velitele nebo osoby, která je odpovědná za letadlo nebo loď",Majitele letadla nebo lodi,Českého telekomunikačního úřadu,Nejbližšího pozemního dispečera,"Stejně jako u vyhlášení tísně, i pro celkový provoz na palubě platí absolutní hierarchie. Velitel letadla (kapitán) má na palubě nejvyšší právní i provozní odpovědnost, takže rádiová stanice a její obsluha podléhají přímo jeho velení."
Radiokomunikační předpisy,Doba platnosti průkazů radiotelefonistů pro leteckou a námořní pohyblivou službu je stanovena na,10 let při prvním vydání průkazu,5 let při prvním vydání průkazu,Na dobu neurčitou,"3 roky, pokud žadatel nesloží praktickou zkoušku","Když úspěšně složíš zkoušku na ČTÚ, tvůj první průkaz radiotelefonisty dostaneš s platností na 10 let. Po uplynutí této doby se dá platnost prodloužit (zpravidla bez nutnosti znovu dělat celou zkoušku), pokud prokážeš, že jsi rádio aktivně používal."
Radiokomunikační předpisy,O prodloužení doby platnosti průkazu odborné způsobilosti se žádá,"Písemně, minimálně jeden měsíc před koncem platnosti průkazu",Osobně v den vypršení platnosti průkazu,Telefonicky nebo e-mailem kdykoliv v průběhu posledního roku platnosti,"Písemně, nejpozději 6 měsíců před koncem platnosti","ČTÚ potřebuje čas na úřadování. Pokud chceš hladce navázat a nepřijít o možnost vysílat, musíš podat písemnou žádost nejpozději jeden měsíc před vypršením stávajícího průkazu. Když to nestihneš, průkaz propadne a musel bys na zkoušky znovu."
Radiokomunikační předpisy,Při žádosti o prodloužení platnosti průkazu je třeba také,Uhradit příslušný správní poplatek and doložit praxi v obsluze rádiových stanic,Absolvovat kompletní novou písemnou zkoušku na ČTÚ,Doložit potvrzení o lékařské prohlídce a psychotesty,Předložit revizní zprávu od používané radiostanice,Úřad to zadarmo a bez důkazu neudělá. Musíš zaplatit správní poplatek a doložit potvrzení o praxi (že jsi za posledních 10 let opravdu lítal a vysílal).
Radiokomunikační předpisy,"V případě, že doba platnosti průkazu již uplynula, může držitel průkazu žádat o nový průkaz",V období do jednoho roku ode dne pozbytí platnosti průkazu,"Kdykoliv, platnost se obnovuje automaticky zpětně","Pouze do 14 dnů, pak musí opakovat celé zkoušky",Do 5 let od uplynutí platnosti bez nutnosti nových zkoušek,"Pokud ti průkaz propadne, máš ještě ochrannou lhůtu 1 rok na to, abys požádal o nový bez nutnosti znovu skládat zkoušky. Jakmile ale propásneš i tento rok, čeká tě celé testování na ČTÚ odznova."
Radiokomunikační předpisy,Doba platnosti průkazů radiotelefonistů námořní a letecké pohyblivé služby se na základě žádosti držitele prodlužuje o,5 let,10 let,2 roky,Na dobu neurčitou,"Zatímco první vydání průkazu platí na 10 let, každé další prodloužení se poskytuje už jen na 5 let."
Radiokomunikační předpisy,První znak nebo první dva znaky mezinárodní volací značky označují,Státní příslušnost stanice,Typ radiokomunikační služby (letecká/námořní),Výkonový rozsah vysílače,Domovské letiště nebo přístav stanice,"První znak nebo dvojice znaků (tzv. prefix) v radiokomunikacích funguje jako mezinárodní poznávací značka na autě. Okamžitě podle ní poznáš, ze které země stanice vysílá (např. OK pro Česko, OM pro Slovensko, N pro USA)."
Radiokomunikační předpisy,Stejná volací značka,Nemůže být přidělena dvěma nebo více provozovatelům stanic,"Může být přidělena více stanicím, pokud operují v různých kmitočtových pásmech",Může být sdílena v rámci jednoho aeroklubu nebo firmy,Se přiděluje opakovaně každých 5 let novým žadatelům,"Volací značka je jako unikátní rodné číslo nebo registrační značka auta. Aby nedošlo k nebezpečné záměně ve vzduchu, nikdy nesmí existovat dvě stanice se stejnou značkou. Každý provozovatel musí mít svou vlastní, jedinečnou identifikaci."
Radiokomunikační předpisy,"Inspekční orgány zemí, které provedou kontrolu vybavení radiové stanice",Mohou vyžadovat předložení průkazu operátora,"Nemají právo kontrolovat osobní doklady operátora, pouze technický stav zařízení",Mohou průkaz na místě zabavit bez udání důvodu,Jsou povinny kontrolu hlásit 24 hodin předem kapitánovi,"Když na letišti (zejména v zahraničí) přijde kontrola (SAFA inspekce), mají právo zkontrolovat nejen letadlo, ale i posádku. Protože letadlové rádio je vysílací zařízení, inspektoři mohou požadovat předložení tvého průkazu radiotelefonisty, abys prokázal, že k jeho obsluze máš oprávnění."
Radiokomunikační předpisy,Mezinárodní telekomunikační unie (ITU) je,Specializovanou organizací Organizace spojených národů pro oblast telekomunikací,Evropským kontrolním úřadem pro rádiové frekvence,Soukromým sdružením výrobců radiotechniky,Vojenskou organizací spadající pod NATO,"ITU (International Telecommunication Union) sídlí v Ženevě a spadá přímo pod OSN. Je to ta nejvyšší celosvětová autorita, která dává řád všemu, co se týká vysílání – od rozdělení frekvenčních pásem pro letectví až po přidělování národních prefixů (volacích značek)."
Radiokomunikační předpisy,Mezinárodní organizací CEPT se rozumí,Evropská konference poštovních a telekomunikačních správ,Celosvětový výbor pro družicovou navigaci a telekomunikace,Stálá komise pro potlačování průmyslového rušení,Centrum pre evidenci průkazů telekomunikačních operátorů,"CEPT (Conférence Européenne des Administrations des Postes et des Télécommunications) je evropská organizace, která sdružuje telekomunikační úřady (včetně českého ČTÚ). V letectví je důležitá proto, že harmonizuje pravidla a zkoušky napříč Evropou, takže průkazy vydané podle standardů CEPT ti platí i v zahraničí."
Radiokomunikační předpisy,Q-kódem se rozumí,"kódová skupina tří písmen začínající vždy písmenem Q, která má určitý konkrétní, mezinárodně dohodnutý význam",Čtyřmístný číselný kód pro kódování tísňového vysílání,Interní označení kvality signálu na stupnici 1 až 5,Identifikační kód vojenských leteckých základen,"Q-kódy vznikly v dobách telegrafie, aby se zkrátilo vysílání. Jsou to vždy tři písmena začínající na Q (např. QNH pro tlak vzduchu, QTE pro zaměření). Mají pevný mezinárodní význam, takže jim rozumí piloti a řídící letového provozu po celém světě bez ohledu na jazykovou bariéru."
Radiokomunikační předpisy,"Volací značky se přidělují tak, aby nemohly být zaměněny","S tísňovými, pilnostními a bezpečnostními signály nebo s kódovými zkratkami Q-kódu",S názvy komerčních rozhlasových stanic,S registračními značkami motorových vozidel (SPZ),S kódovým označením meteorologických zpráv METAR,"Bezpečnost je na prvním místě. Volací značka nesmí znít jako MAYDAY, PAN PAN, SECURITE nebo jako běžný Q-kód (např. QNH), aby v chrastícím rádiu nevznikl fatální zmatek."
Radiokomunikační předpisy,Volací značkou je,"Každé poznávací označení stanice přidělené podle Radiokomunikačního řádu, které umožňuje zjištění její totožnosti během vysílání",Pouze křestní jméno operátora doplněné o kmitočet,Výhradně typové označení schváleného vysílacího zařízení,Číslo občanského průkazu nebo pasu držitele licence,"Identifikační znak stanice, který slouží k jejímu jednoznačnému rozpoznání při rádiovém provozu. V letectví to může být imatrikulace letadla (např. OK-ABC) nebo název společnosti a číslo letu (např. CSA 123)."
Radiokomunikační předpisy,Telekomunikační tajemství se týká,"Všech osob, které znají obsah rádiových zpráv nebo se dověděly o jejich existenci či o zprávě, která byla doručena prostřednictvím radiokomunikační služby.",Pouze státních zaměstnanců a příslušníků ozbrojených složek.,"Výhradně operátorů, kteří vysílají šifrované zprávy.","Pouze zpráv, které jsou označeny stupněm utajení „Důvěrné“ a vyšším.","Telekomunikační tajemství se týká naprosto každého, kdo se k takové informaci jakýmkoliv způsobem dostal. I když zachytíš cizí vysílání náhodou (např. na skeneru nebo v rádiu), nesmíš obsah zprávy ani samotný fakt, že jsi něco slyšel, nikomu vyzradit ani ho nijak využít."
Radiokomunikační předpisy,"Každý, kdo se dozví informace o skutečnostech, které jsou předmětem telekomunikačního tajemství,",je povinen zachovávat o nich mlčenlivost.,je povinen je neprodleně nahlásit Českému telekomunikačnímu úřadu.,je smí sdílet pouze v rámci rodiny nebo blízkých spolupracovníků.,"je může zveřejnit, pokud tím nevznikne materiální škoda.","Tato povinnost platí bezvýhradně a pro každého. Mlčenlivost musíš zachovávat i poté, co přestanou platit důvody, pro které ses k informaci dostal (například i po skončení letu nebo po odchodu ze zaměstnání v letectví). Výjimkou je pouze situace, kdy tě této mlčenlivosti zbaví zákon nebo soud."
Radiokomunikační předpisy,Předmětem telekomunikačního tajemství je zejména,Obsah zpráv přepravovaných nebo jinak zprostředkovaných telekomunikačními zařízeními a sítěmi s výjimkou zpráv určených veřejnosti.,Technické schéma zapojení vysílací stanice a její výkon.,Seznam všech registrovaných radioamatérů v dané zemi.,Aktuální ceník poplatků za využívání rádiového spektra.,"Předmětem tajemství je vše, co letí vzduchem a není to veřejný rozhlas, zejména samotný obsah hovoru, datového přenosu nebo provozní údaje (kdo, s kým, kdy a odkud mluvil). Zprávy určené veřejnosti (např. meteorologické informace VOLMET nebo ATIS) pod toto tajemství nespadají."
Radiokomunikační provoz,Letecká pohyblivá služba je,Pohyblivá služba mezi leteckými stanicemi a letadlovými stanicemi nebo mezi letadlovými stanicemi navzájem,Radiokomunikační služba určená výhradně pro přenos meteorologických dat letadlům za letu,Služba zajišťující radarové sledování letadel bez možnosti hlasové komunikace,Jakákoliv družicová komunikace zajišťující navigaci letadel na mezinárodních tratích,"Letecká pohyblivá služba (Aeronautical Mobile Service) zajišťuje komunikaci pro všechno, co se hýbe nebo co komunikaci s pohybujícími se objekty řídí. Zahrnuje dva typy komunikace: Země–vzduch / Vzduch–země (mezi pozemní stanicí na letišti a letadlem) a Vzduch–vzduch (mezi dvěma letadly navzájem)."
Radiokomunikační provoz,Letecká pevná služba (AFS dle L10) je,Telekomunikační služba mezi stanovenými pevnými body,Služba pro nouzové radiové spojení letadla s pevnou pozemní stanicí,Radiokomunikační služba určená pro navádění letadel na pevnou přístrojovou dráhu,Pozemní služba zajišťující mechanické upevnění a parkování letadel na stojánce,Letecká pevná služba je vlastně internet nebo „drátový“ telefon pro letiště (L10 je Letecký předpis L10). Jsou to počítače a servery spojené kabely na zemi. Skrz tuhle síť si lidi z jednoho letiště posílají na druhé letiště zprávy o počasí nebo plány letů. Letadlo za letu s tímto spojením nemá nic společného.
Radiokomunikační provoz,Letecká rozhlasová služba (dle L10) je,Služba určená k vysílání informací týkajících se leteckého provozu,Rozhlasové vysílání komerčních stanic určené pro posádky a cestující na palubě,Služba zajišťující obousměrnou komunikaci mezi věží a všemi letadly v sektoru,Hlášení palubního rozhlasu letadla pro cestující během nouzové situace,Letecká rozhlasová služba je prostě jednosměrné rádio pro piloty (L10 je Letecký předpis L10). Funguje to jako rádio v autě – letiště pořád dokola vysílá důležité informace (třeba počasí přes ATIS) a pilot si to jen naladí a poslouchá. Nemůže do toho mluvit.
Radiokomunikační provoz,Pozemní stanice letecké pohyblivé služby je,Letecká stanice,Letadlová stanice,Sledovací radar,Pozemní maják,"Letecká stanice je prostě vysílačka na zemi. Představ si pod tím řídícího na věži, paní na informacích na malém letišti nebo kohokoliv, kdo sedí u stolu na zemi, má před sebou mikrofon a mluví zespodu k letadlům."
Radiokomunikační provoz,Vysílání pokusných signálů nesmí trvat déle než,10 vteřin,5 vteřin,30 vteřin,1 minutu,"Když si v letadle zkoušíš, jestli ti funguje rádio (ladíš ho a zkoušíš mluvit), nesmíš tu frekvenci blokovat dlouho. Můžeš do toho mluvit maximálně 10 vteřin. Pak musíš pustit tlačítko, aby mohli mluvit ostatní."
Radiokomunikační provoz,Při zkušebním vysílání dokonalá čitelnost je uváděna stupněm,5 (Dokonale čitelné),1 (Nejlepší kvalita),10 (Maximální signál),3 (Standardní srozumitelnost),"Když kontroluješ rádio, piloti a řídící používají pro kvalitu zvuku stupnici od 1 do 5. Pětka znamená, že tě slyší úplně čistě a bez šumu – zkrátka dokonale čitelně. Když ti někdo odpoví „slyším vás 5“, je všechno v naprostém pořádku."
Radiokomunikační provoz,Zkušební vysílání musí obsahovat,"volací značku volané stanice, volací značku letadla, slova „ZKOUŠKA RÁDIA“, používaný kmitočet","volací značku letadla, typ letadla, aktuální výšku a slovo „TEST“","jméno pilota, typ radiostanice, stav baterie a slova „ZKOUŠKA SYSTÉMU“",pouze volací značku letadla opakovanou třikrát za sebou,"Při testu rádia je potřeba uvést všechny identifikační údaje, aby protistrana věděla, kdo volá a na jaké frekvenci. V praxi to zní takhle: „Ruzyně Věž, OK-ABC, zkouška rádia na 118,1.“"
Radiokomunikační provoz,Rychlost hovoru při radiotelefonním spojení nemá převyšovat,100 slov za minutu,60 slov za minutu,150 slov za minutu,120 slov za minutu,"Při mluvení do rádia nesmíš kulometit. Mluv pomalu a srozumitelně, maximálně 100 slov za minutu. Je to o dost pomalejší než běžná řeč, aby ti druhá strana rozuměla a stíhala si zapisovat."
Radiokomunikační provoz,Radiotelefonní spojení letadlo – země by se mělo provádět,Všeobecně v jazyce ve kterém komunikuje pozemní stanice,Výhradně v anglickém jazyce bez ohledu na polohu letiště,V rodném jazyce velitele letadla,"V jakémkoliv jazyce, který schválí provozovatel letadla","Do rádia se standardně mluví jazykem, kterým mluví letiště na zemi, na které zrovna voláš. Když letíš v Česku, mluvíš česky (nebo anglicky). Když letíš do Německa, mluví na tebe německy (nebo anglicky). Angličtina funguje jako celosvětová jistota všude."
Radiokomunikační provoz,Zprávy musí být vysílány,V otevřené řeči a ve schválených frázích,V kódovaných zkratkách pro zkrácení vysílacího času,"V libovolné formě, pokud je zachován smysl zprávy",Výhradně s použitím vojenských kódových šifer,"Do rádia nesmíš mluvit v žádných tajných šifrách nebo vlastních kódech. Musíš mluvit normální řečí a používat přesně schválená slovíčka a fráze, kterým všichni piloti i řídící na světě rozumí úplně stejně."
Radiokomunikační provoz,Při vysílání,Zachováváme stále stejnou výši hlasu ve všech fázích hovoru,Zvyšujeme hlas ke konci věty pro zdůraznění významu,"Mluvíme co nejrychleji, aby se uvolnil kmitočet",Šeptáme blízko k mikrofonu pro potlačení hluku motoru,"Do mikrofonu musíš mluvit stále stejně nahlas. Nesmíš na začátku věty řvát a na konci šeptat. Když udržíš stejnou intenzitu hlasu, rádio tě přenese čistě a řídícímu na zemi neprasknou ušní bubínky."
Radiokomunikační provoz,Pořadí zpráv dopravovaných leteckou pohyblivou službou je,"Tísňové, pilnostní, o rádiovém zaměřování, pro zajištění bezpečnosti letů, meteorologické, o pravidelnosti letů","Tísňové, meteorologické, pilnostní, o pravidelnosti letů, o zaměřování","Vládní, tísňové, vojenské, civilní pravidelné, meteorologické","Pilnostní, tísňové, bezpečnostní, meteorologické, provozní","Když se sejde víc zpráv naráz, do rádia mají přednost ty nejdůležitější. Pořadí od nejvyšší priority je: 1. Tísňové (MAYDAY), 2. Pilnostní (PAN PAN), 3. O zaměřování, 4. Bezpečnost letů (příkazy od věže), 5. Meteorologické (počasí), 6. Pravidelnost letů (provozní věci aerolinek)."
Radiokomunikační provoz,MAYDAY je radiotelefonní signál,Tísňové zprávy,Pilnostní zprávy,Meteorologického varování,Ukončení rádiového provozu,"Signál MAYDAY (čte se mé-dé) se používá jen tehdy, když je letadlo nebo posádka ve vážném a bezprostředním nebezpečí a potřebuje okamžitou pomoc (např. vysazení motoru nebo požár). Slovíčko pochází z francouzského „m'aidez“ (pomozte mi)."
Radiokomunikační provoz,PAN PAN je radiotelefonní signál,Pilnostní zprávy,Tísňové zprávy,Zprávy o rádiovém zaměřování,Pravidelného hlášení polohy,"Signál PAN PAN se používá ve chvíli, kdy máš na palubě vážný problém (např. selhaly navigační přístroje, zbláznila se elektronika nebo máš nemocného pasažéra), ale letadlo zatím bezprostředně nepadá. Říkáš tím ostatním: „Mám velký problém, potřebuju přednost, ale situaci kontroluju.“"
Radiokomunikační provoz,Tísňová korespondence,Má přednost před všemi ostatními druhy spojení,Musí být okamžitě přesměrována na záložní kmitočet,Má stejnou prioritu jako pilnostní korespondence,Je povolena pouze ve vojenském vzdušném prostoru,"Tísňová korespondence (MAYDAY) stojí na absolutním vrcholu pyramidy. Jakmile někdo tohle slovo vysloví, všechno ostatní musí okamžitě ztichnout. Žádné zprávy o počasí, žádné běžné hlášení polohy, dokonce ani řídící nesmí mluvit s nikým jiným, dokud se situace nevyřeší. Tíseň má prostě absolutní zelenou."
Radiokomunikační provoz,Pilnostní zpráva,Má přednost před všemi ostatními druhy spojení vyjma tísňového provozu,Má absolutní přednost přede všemi zprávami včetně tísňových,Má nižší prioritu než meteorologické zprávy,Smí se vysílat pouze po předchozím schválení řízení letového provozu,"Pilnostní korespondence (PAN PAN) má na obloze obrovskou váhu. Přetlačí všechny běžné hovory o počasí, plánech letu i příkazy věže. Jediný, komu musí okamžitě uhnout a ustoupit, je tíseň (MAYDAY). Funguje to tedy takto: 1. Absolutní nouze (MAYDAY), 2. Naléhavý problém (PAN PAN), 3. Všichni ostatní."
Radiokomunikační provoz,Tísňový a pilnostní provoz musí být zahájen na kmitočtu,který je v dané chvíli používán,"mezinárodním nouzovém 121,5 MHz za všech okolností",nejbližšího velkého mezinárodního letiště,který schválí velitel letadla před vzletem,"Když nastane průšvih, nezačneš zběsile přelaďovat rádio a hledat nouzovou frekvenci, protože bys mluvil do prázdna. Vyhlásíš to okamžitě na tom kmitočtu, na kterém zrovna seš a na kterém tě před vteřinou slyšel řídící. Ten tě zná, ví kde jsi a hned ti pomůže. Teprve když se nikdo neozve, zkouší se 121,5 MHz."
Radiokomunikační provoz,"Po volání letecké stanice, na které tato stanice neodpoví, je letadlová stanice povinna","Vyčkat nejméně 10 sekund, než provede další volání",Okamžitě opakovat volání s vyšším výkonem vysílače,"Přeladit na nouzový kmitočet 121,5 MHz",Vyhlásit poruchu radiostanice pomocí odpovídače,"Když zavoláš věž a nikdo se neozve, nesmíš okamžitě mačkat tlačítko a křičet tam znova. Musíš počkat aspoň 10 sekund. Tento čas tam je proto, že řídící na zemi mohl zrovna psát důležitou poznámku, mluvit s kolegou u radaru nebo koordinovat jiné letadlo na jiné frekvenci."
Radiokomunikační provoz,"Jména, zkratky a slova, jejichž výslovnost může vyvolat pochybnost, se v radiotelefonním provozu musí",Hláskovat,Vyslovovat velmi hlasitě a pomalu,Nahradit mezinárodním číslem otázky,Přeložit do anglického jazyka,"Když je v názvu nebo zkratce hokej (třeba složité jméno pilota, cizí název hlásného bodu nebo imatrikulace letadla), prostě se to vyhláskuje pomocí mezinárodní abecedy (Alfa, Bravo, Charlie...). Je to nejlepší způsob, jak zabránit tomu, aby si řídící zapsal úplně jiné slovo."
Radiokomunikační provoz,Letadlová stanice udržuje rádiové spojení s řídící stanicí,"vždy, je-li to moguće",pouze při vzletu a přistání,pouze v případě nepříznivého počasí,pokud to vyžaduje velitel letadla,"Řídící musí neustále vědět, kde jsi a co plánuješ, aby tě mohl varovat v případě, že by se k tobě blížilo jiné letadlo. Spojení můžeš přerušit jen tehdy, když ti věž dovolí přeladit, nebo když ztratíš signál kvůli terénu."
Radiokomunikační provoz,Letadlová stanice potvrzuje příjem důležitých zpráv řízení letového provozu nebo jejich částí,Jejich opakováním a připojením vlastní volací značky,Pouhým vyslovením slova „ROZUMÍM“,Dvojitým kliknutím na vysílací tlačítko (klíčováním),Odpovědí „POTVRZUJI“ bez udání volací značky,"Říká se tomu opakování (read-back). Příkaz (třeba povolenou výšku) musíš zopakovat slovo od slova a na konec přidat svou značku (např. OK-ABC). Řídící tak má stoprocentní jistotu, že jsi mu správně rozuměl a že mluví s tebou. Pouhé „Rozumím“ nestačí."
Radiokomunikační provoz,Za letu musí letadlová stanice,Udržovat stálou poslechovou hlídku,Pravidelně vysílat testovací tón každých 15 minut,Mít vypnutý reproduktor a komunikovat jen v nouzi,Monitorovat výhradně komerční rozhlasové stanice,"Znamená to, že po celou dobu letu musí mít pilot nasazená sluchátka nebo zapnutý reproduktor a neustále poslouchat rádio. Vzdušný prostor se rychle mění a řídící tě může vteřinu po vteřině potřebovat varovat před jiným letadlem nebo bouřkou."
Radiokomunikační provoz,Letadlo přechází z jednoho rádiového kmitočtu na druhý,Z příkazu letecké stanice v souladu s dohodnutými postupy,Podle vlastního uvážení pilota na základě polohy letadla,Automaticky každých 30 minut letu,"Pouze v případě, že je původní kmitočet zarušený","Samovolně přeladit rádio jen tak podle vlastního uvážení nesmíš. Vždycky musíš počkat na pokyn od řídícího (např. „Kontaktujte Praha Radar na 127,125“). Ty mu frekvenci zopakuješ, rozloučíš se, přeladíš a na novém kmitočtu se nahlásíš."
